Drink,Serving Size (ml),Calories,Category,ABV,
Absinthe,30 ml,133,Distilled spirit,70.0%,
Amaretto,30 ml,95,Liqueur,28.0%,
Baileys,30 ml,94,Liqueur,17.0%,
Blue Curacao,30 ml,72,Liqueur,21.0%,
Bourbon Whiskey,30 ml,74,Whiskey,40.0%,
Brandy,30 ml,92,Brandy,40.0%,
Chambord,30 ml,70,Liqueur,16.5%,
Coffee Liqueur,100 ml,336,Liqueur,16.0%,
Cointreau,30 ml,101,Liqueur,40.0%,
Daiquiri,85 ml,158,Cocktail,40.0%,
Vodka,30 ml,70,Distilled spirit,37.5%,
Whiskey Sour,68 ml,101,Cocktail,40.0%,
Dark Rum,30 ml,69,Rum,40.0%,
Drambuie,700 ml,2562,Liqueur,40.0%,
Eggnog,30 ml,85,Mixed drink,20.0%,
Frangelico,30 ml,63,Liqueur,20.0%,
Gin,30 ml,80,Distilled spirit,37.5%,
Gin Tonic,250 ml,165,Cocktail,37.5%,
Grand Marnier,20 ml,64,Liqueur,40.0%,
Jack Daniel's,30 ml,75,Whiskey,35.0%,
Jim Beam,30 ml,72,Whiskey,40.0%,
Jägermeister,30 ml,77,Liqueur,35.0%,
Kahlua,30 ml,74,Liqueur,16.0%,
"Liquor, Cordial",86 ml,319,Liqueur,20.0%,
Piña Colada,240 ml,188,Cocktail,40.0%,
Rum,30 ml,70,Rum,40.0%,
Sambuca,30 ml,116,Liqueur,40.0%,
Scotch Whisky,30 ml,69,Whiskey,40.0%,
Southern Comfort,30 ml,69,Liqueur,35.0%,
Tequila,30 ml,69,Distilled spirit,40.0%,
Tequila,180 ml,198,Distilled spirit,40.0%,
Triple Sec,30 ml,,Liqueur,38.0%,
Beer (light),355 ml,103,Beer,4.5%,
Beer (regular),355 ml,153,Beer,5.0%,
Beer (higher alcohol/craft beers),355 ml,350,Beer,7.0%,
Gin (80 proof),45 ml,97,Distilled spirit,40.0%,
Gin (94 proof),45 ml,116,Distilled spirit,47.0%,
Rum (80 proof),45 ml,97,Rum,40.0%,
Rum (94 proof),45 ml,116,Rum,47.0%,
Vodka (80 proof),45 ml,97,Distilled spirit,40.0%,
Vodka (94 proof),45 ml,116,Distilled spirit,47.0%,
Whiskey (80 proof),45 ml,97,Whiskey,40.0%,
Whiskey (94 proof),45 ml,116,Whiskey,47.0%,
Coffee liqueur,45 ml,160,Liqueur,16.0%,
Coffee liqueur with cream,45 ml,154,Liqueur,17.0%,
Crème de menthe,45 ml,186,Liqueur,25.0%,
Bloody Mary,136 ml,120,Cocktail,37.5%,
Chocolate martini,74 ml,418,Cocktail,37.5%,
Cosmopolitan,81 ml,146,Cocktail,37.5%,
Daiquiri,80 ml,137,Cocktail,40.0%,
Highball,235 ml,110,Cocktail,40.0%,
Hot buttered rum,235 ml,292,Cocktail,40.0%,
Mai Tai,145 ml,306,Cocktail,40.0%,
Margarita,120 ml,168,Cocktail,40.0%,
Mimosa,120 ml,75,Cocktail,12.0%,
Mint Julep,135 ml,165,Cocktail,40.0%,
Mojito,177 ml,143,Cocktail,40.0%,
Piña colada,200 ml,526,Cocktail,40.0%,
Rum and Coke,235 ml,185,Cocktail,40.0%,
Rum and Diet Coke,235 ml,100,Cocktail,40.0%,
Tequila Sunrise,200 ml,232,Cocktail,40.0%,
Vodka and tonic,207 ml,189,Cocktail,37.5%,
White Russian,235 ml,568,Cocktail,37.5%,
White table wine,145 ml,128,Wine,13.0%,
Gewurztraminer,145 ml,128,Wine,13.0%,
Muscat,145 ml,129,Wine,11.0%,
Riesling,145 ml,129,Wine,11.0%,
Chenin Blanc,145 ml,129,Wine,13.0%,
Chardonnay,145 ml,128,Wine,13.5%,
Sauvignon Blanc,145 ml,128,Wine,13.0%,
Fumé Blanc,145 ml,128,Wine,13.0%,
Pinot Grigio,145 ml,128,Wine,13.0%,
Dry dessert wine,90 ml,157,Wine,13.0%,
Red table wine,145 ml,125,Wine,13.5%,
Petite Sirah,145 ml,125,Wine,14.0%,
Merlot,145 ml,122,Wine,13.5%,
Cabernet Sauvignon,145 ml,122,Wine,13.5%,
Red Zinfandel,145 ml,129,Wine,15.0%,
Burgundy,145 ml,122,Wine,13.0%,
Pinot Noir,145 ml,121,Wine,13.5%,
Claret,145 ml,122,Wine,13.0%,
Syrah,145 ml,122,Wine,14.0%,
Red dessert wine,90 ml,165,Wine,13.0%,
Champagne,145 ml,90,Wine,12.0%,
