food_code,food_name,food_type,veg_flag,cuisine_region,meal_slots,search_alias,energy_kcal,protein_g,carb_g,fat_g,fibre_g,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,cholesterol_mg,servings_unit,serving_grams,unit_serving_energy_kcal
ASC001,Hot tea (Garam Chai),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Garam Chai,16.14,0.39,2.58,0.53,0.0,14.2,0.02,1.04,3.12,13.95,0.0,tea cup,200.0,32.28
ASC002,Instant coffee,drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Coffee,23.16,0.64,3.65,0.75,0.0,20.87,0.06,3.63,4.92,44.5,0.0,tea cup,200.0,46.32
ASC003,Espreso coffee,drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Coffee,51.54,1.75,6.62,2.14,0.0,58.1,0.15,8.57,13.98,103.86,0.0,tea cup,158.5,81.7
ASC004,Iced tea,drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Iced Tea,10.34,0.03,2.7,0.01,0.0,1.18,0.02,0.39,0.23,5.22,0.0,tall glass,300.0,31.02
ASC005,Raw mango drink (Aam panna),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Aam panna,35.92,0.16,9.05,0.03,0.61,7.08,0.14,4.25,79.82,31.45,0.0,tall glass,268.5,96.44
ASC006,Fruit Punch (with fresh juices),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",with fresh juices,36.12,0.14,9.38,0.03,0.06,5.07,0.1,3.2,2.63,33.43,0.0,tall glass,300.0,108.36
ASC007,Fruit Punch (with squashes),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",with squashes,23.13,0.07,5.99,0.02,0.17,3.3,0.06,1.88,2.26,16.65,0.0,tall glass,300.0,69.39
ASC008,Lemonade,drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Nimbu Paani,20.8,0.03,5.48,0.01,0.02,1.84,0.05,0.73,28.52,5.73,0.0,glass,250.0,52.0
ASC009,lemon ginger water,drink,veg,Pan-Indian,early morning,Lemon Ginger Water,21.52,0.08,5.55,0.03,0.13,2.2,0.09,1.86,28.13,14.17,0.0,glass,250.0,53.8
ASC010,cumin infused water (Jeere/Zeere ka pani),drink,veg,Pan-Indian,early morning,Jeere/Zeere ka pani,9.09,0.17,1.86,0.11,0.46,10.84,0.32,5.28,189.6,32.15,0.0,glass,250.0,22.73
ASC011,Coco pine cooler,drink,veg,Continental,"breakfast, lunch, high tea, dinner",Virgin Pinacolada/Virgin Pina Colada,32.75,0.56,5.72,1.0,0.26,17.81,0.13,6.59,23.2,66.65,3.4,tall glass,300.0,98.25
ASC014,Hot cocoa,drink,veg,Continental,"breakfast, lunch, high tea, dinner",Hot Chocolate,90.1,3.36,9.23,4.56,0.0,113.66,0.31,16.05,24.2,132.15,0.0,cup,191.0,172.09
ASC015,Cold coffee with ice cream,drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",,67.85,1.57,11.24,2.11,0.01,53.29,0.12,7.26,13.84,90.27,1.17,tall glass,300.0,203.55
ASC016,Banana milkshake (Kele milkshake),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Kele milkshake,65.31,1.84,9.15,2.37,0.26,62.64,0.13,7.92,13.61,102.43,0.0,tall glass,300.0,195.93
ASC017,Mango milkshake (Aam milkshake),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Aam milkshake,56.9,1.73,7.23,2.35,0.26,62.33,0.15,6.17,13.27,79.07,0.0,tall glass,300.0,170.7
ASC018,Pineapple milkshake (Ananas milkshake),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Ananas milkshake,55.72,1.66,7.62,2.23,0.0,59.92,0.11,5.14,14.05,65.68,0.0,tall glass,300.0,167.16
ASC019,Orange milkshake (Narangi milkshake),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Narangi milkshake,57.42,1.86,7.11,2.52,0.0,67.42,0.11,5.3,14.63,73.43,0.0,tall glass,300.0,172.26
ASC020,Egg nog,drink,egg,Continental,"breakfast, lunch, high tea, dinner",,97.14,4.78,8.15,5.11,0.02,102.13,0.43,8.99,40.65,115.14,60.3,tall glass,300.0,291.42
ASC021,Sweet Lassi (Meethi lassi),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",Meethi lassi,35.66,1.29,6.51,0.68,0.0,45.65,0.03,4.38,18.31,63.5,2.49,tall glass,300.0,106.98
ASC022,Lassi (salted),drink,veg,Pan-Indian,"breakfast, lunch, high tea, dinner",salted,18.84,1.35,1.86,0.72,0.02,47.78,0.04,4.84,65.4,67.37,2.6,tall glass,300.0,56.52
ASC023,Cheese and chilli sandwich ,dish,veg,Continental,breakfast,Cheese Chilli Toast,218.11,6.8,27.4,9.78,2.08,113.79,0.99,18.86,437.5,142.31,23.05,triangle,55.8,121.6
ASC024,Egg sandwich (Ande ka sandwich),dish,egg,Pan-Indian,breakfast,Ande ka sandwich,285.96,8.69,29.16,15.8,1.88,110.13,1.44,18.88,461.67,129.59,121.63,triangle,50.7,145.12
ASC025,Cucumber sandwich (Kheere ka sandwich),dish,veg,Pan-Indian,"breakfast, high tea",Kheere ka sandwich,188.6,4.8,25.77,8.0,2.45,87.84,1.02,21.6,362.64,154.06,17.53,triangle,60.7,114.57
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),dish,veg,Pan-Indian,breakfast,Cheese aur ananas ka sandwich,257.71,8.2,29.1,12.8,2.33,199.73,1.04,21.52,571.96,143.39,34.35,triangle,55.8,143.68
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),dish,veg,Pan-Indian,breakfast,Cheese aur tamatar ke sandwich,243.32,7.92,26.92,12.27,1.97,191.2,1.0,20.97,549.71,148.52,32.88,triangle,58.2,141.73
ASC028,Chicken sandwich,dish,non-veg,Pan-Indian,"breakfast, lunch, dinner",,253.27,13.12,25.38,11.75,1.64,89.56,1.19,21.59,389.67,196.08,42.06,triangle,58.3,147.53
